,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_000100,hypothetical protein,,,,,,,,,,ENOG410PZI3,,,,,CPSG_05813,CIMG_05553,5.60744307567714,0.000406157864773489,1.32379980209508,0.00983184270120975,spherule_upreg,spherule_upreg
D8B26_000101,hypothetical protein,,PF07264,,,,5 (i38-67o87-106i178-202o214-234i268-293o),,,,ENOG410PIEN,S,9091at33183,,,CPSG_05814,CIMG_05552,0.882781403252794,0.020902078480972,0.817892259400089,0.00455916037992637,no upreg,no upreg
D8B26_000102,dihydrolipoamide dehydrogenase precursor,LPD1,PF00070;PF02852;PF07992;PF13450;PF13738," GO:0004148 - dihydrolipoyl dehydrogenase activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0016491 - oxidoreductase activity; GO:0016668 - oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor", GO:0055114 - oxidation-reduction process; GO:0045454 - cell redox homeostasis,,,,,,ENOG410PGM9,C,5674at33183,,,CPSG_05815,CIMG_05551,-1.04409180380448,0.00615343499140043,-0.216936341396423,0.202072457191854,hyphae_upreg,no upreg
D8B26_000103,hypothetical protein,,PF00753,,,,,,,,ENOG410PM9B,S,,,,CPSG_05816,CIMG_05549,-1.55562677637797,0.00192251159795575,1.63663488163669,7.27320343432434e-05,hyphae_upreg,spherule_upreg
D8B26_000104,hypothetical protein,,PF01042,,,,,,,,ENOG410PXK1,J,,,,CPSG_05817,CIMG_13473,-2.14872102680154,0.00147531632351733,0.901867948628141,0.00404159174222912,hyphae_upreg,no upreg
D8B26_000105,hypothetical protein,,, GO:0005515 - protein binding,,,,,,,ENOG410PG3P,S,68881at4751;1459at33183,,,,,,,,,,
D8B26_000106,DNA-directed RNA Polymerase II subunit L,RPB10,PF01194, GO:0003899 - DNA-directed 5'-3' RNA polymerase activity; GO:0003677 - DNA binding; GO:0008270 - zinc ion binding," GO:0006351 - transcription, DNA-templated",,,,,,ENOG410PRZ2,K,16765at33183,,,CPSG_05819,CIMG_05546,-0.309341547709755,0.286485736194613,-0.39339358844441,0.0197230077339098,no upreg,no upreg
D8B26_000107,hypothetical protein,,,,,,,,,,ENOG410PIAS,S,3748at33183,,,CPSG_05820,CIMG_05544,-0.367985384180981,0.169529744284363,-0.529083418757945,0.00573676528857043,no upreg,no upreg
D8B26_000108,hypothetical protein,,PF00083;PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport, GO:0016020 - membrane; GO:0016021 - integral component of membrane,12 (i21-41o61-79i91-109o115-139i151-170o182-204i283-301o313- 333i342-364o376-395i407-429o435-456i),,,,ENOG410PFEN,G,,,,CPSG_05821,CIMG_05542,2.82179110983671,0.000920836032982244,0.761007378571311,0.0027644849500909,spherule_upreg,no upreg
D8B26_000109,hypothetical protein,,,,,,1 (o12-33i),,,,ENOG410PW9J,S,,,,CPSG_05822,CIMG_05541,0.227347909016199,0.437253458224193,0.280068915897576,0.488928513578901,no upreg,no upreg
D8B26_000110,hypothetical protein,,PF00069, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PUBD,T,,,,CPSG_05826,,1.40330615649843,0.00288601635511075,0.526662704607112,0.0474900209559341,spherule_upreg,no upreg
D8B26_000111,hypothetical protein,,PF14474,,,,,,,,ENOG410PQ6K,,,,,,,,,,,,
D8B26_000112,hypothetical protein,,,,,,,,,,ENOG410PQ6K,,,,,,,,,,,,
D8B26_000113,hypothetical protein,,,,,,,,,,ENOG410PQ6K,,,,,,,,,,,,
D8B26_000114,hypothetical protein,,,,,,,SignalP(1-18),,,ENOG410PXP7,,,,,CPSG_05828,CIMG_05537,3.09195136830833,0.00302659057624257,0.0445485714664393,0.900459497748234,spherule_upreg,no upreg
D8B26_000115,hypothetical protein,,PF03171;PF14226, GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process,,,,,,ENOG410PG78,Q,8085at33183,,,CPSG_05829,CIMG_05536,0.274464522373405,0.558229535654868,-0.464327345536975,0.0685823138088839,no upreg,no upreg
D8B26_000116,hypothetical protein,,PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport,,14 (i64-91o103-121i133-152o158-179i191-216o222-240i261- 281o293-314i344-364o384-402i409-428o434-459i471-495o524- 544i),,,,ENOG410QE3A,U,5628at33183,,,CPSG_05830,CIMG_05535,0.0952484628398782,0.820030229530221,-0.663976045576828,0.00661770739297716,no upreg,no upreg
D8B26_000117,hypothetical protein,,PF01896, GO:0003896 - DNA primase activity," GO:0006269 - DNA replication, synthesis of RNA primer",,,,,,ENOG410PG27,L,186138at4751;6896at33183,,,CPSG_05831,CIMG_05534,0.354750468760742,0.195603802746902,,1.0,no upreg,
D8B26_000118,hypothetical protein,,PF02330,,, GO:0005759 - mitochondrial matrix,,,,,ENOG410PNBT,C,413850at4751;11948at33183,,,CPSG_05832,CIMG_05533,0.331548129594712,0.563784888583674,0.623121009665599,0.00131800102545054,no upreg,no upreg
D8B26_000119,translocase of the inner membrane,TIM17,PF02466,,,,2 (i87-106o112-130i),,,,ENOG410PJTI,U,14712at33183,,,CPSG_05833,CIMG_05532,-0.383116641894092,0.0534293430024108,0.336477903425447,0.0894924032540307,no upreg,no upreg
D8B26_000120,hypothetical protein,,,,,,,,,,ENOG410Q5G4,,,,,,,,,,,,
D8B26_000121,hypothetical protein,,,,,,,,,,ENOG410Q5G4,,,,,,,,,,,,
D8B26_000122,hypothetical protein,,,,,,,,,,ENOG410Q0CS,,,,,,,,,,,,
D8B26_000123,hypothetical protein,,, GO:0061630 - ubiquitin protein ligase activity,,,,,,,ENOG410PZF5,,,,,CPSG_05836,,-5.7081861355704,0.00230601142436242,-3.55624347527916,3.66286847633422e-08,hyphae_upreg,hyphae_upreg
D8B26_000124,hypothetical protein,,PF05960,,,,,,,,ENOG410PHH2,S,,,,CPSG_05837,CIMG_05528,-5.45213367264229,8.89559232310279e-05,-1.19842964662419,0.000800178244647976,hyphae_upreg,hyphae_upreg
D8B26_000125,hypothetical protein,,PF03169,, GO:0055085 - transmembrane transport,,13 (i114-132o138-158i218-238o244-266i287-318o324-342i363- 382o436-456i489-509o515-539i671-690o710-731i743-768o),,,,ENOG410PFPV,P,,,,CPSG_05838,CIMG_05527,-3.40856043476104,0.00119661597517576,-0.683331802637456,0.00533327695239868,hyphae_upreg,no upreg
D8B26_000126,hypothetical protein,,PF11176,,,,,,,,ENOG410PRAY,S,477057at4751;14837at33183,,,CPSG_05840,CIMG_05526,0.807477235296286,0.0334121242268719,0.722053010097993,0.00131213537122964,no upreg,no upreg
D8B26_000127,Rad2 nuclease,EXO1,PF00867," GO:0004518 - nuclease activity; GO:0003677 - DNA binding; GO:0003824 - catalytic activity; GO:0035312 - 5'-3' exodeoxyribonuclease activity; GO:0016788 - hydrolase activity, acting on ester bonds", GO:0006281 - DNA repair,,,,,,ENOG410PFQY,L,3321at33183,,,CPSG_05841,CIMG_05525,-1.8992584223373,0.00192388322645006,-1.67938853903893,0.000149753304475748,hyphae_upreg,hyphae_upreg
D8B26_000128,hypothetical protein,,PF12351,, GO:0032220 - plasma membrane fusion involved in cytogamy; GO:0000753 - cell morphogenesis involved in conjugation with cellular fusion, GO:0016020 - membrane,4 (i21-40o139-164i185-206o236-262i),,,,ENOG410PM0A,S,12669at33183,,,CPSG_05842,CIMG_05523,-3.33223989132193,0.000242987664108987,-3.03484251094057,4.73349081319874e-07,hyphae_upreg,hyphae_upreg
D8B26_000129,hypothetical protein,,PF10307,,,,,,,,ENOG410PGXH,S,5142at33183,,,CPSG_05843,CIMG_05522,0.649459264201729,0.00825153747095218,0.142175948196877,0.331483091210609,no upreg,no upreg
D8B26_000130,hypothetical protein,,PF00097;PF13639;PF13920,,,,,,,,ENOG410PN69,O,13476at33183,,,CPSG_05844,CIMG_05521,0.1332385175992,0.673793522055714,0.626955024713952,0.0182465155444956,no upreg,no upreg
D8B26_000131,DNA replication regulator sld2,SLD2,PF11719,, GO:0006270 - DNA replication initiation,,,,,,ENOG410PKFZ,L,8317at33183,,,CPSG_05845,CIMG_11562,-1.00635984747763,0.010291405046552,-0.130309883662727,0.689254704156095,hyphae_upreg,no upreg
D8B26_000132,hypothetical protein,,PF06999,,,,,,,,ENOG410PIKD,O,,,,CPSG_05846,CIMG_11561,0.210287101807507,0.794142538194418,2.35529342650636,0.000135746652524626,no upreg,spherule_upreg
D8B26_000133,hypothetical protein,,PF00172;PF04082," GO:0008270 - zinc ion binding; GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0003677 - DNA binding"," GO:0006355 - regulation of transcription, DNA-templated; GO:0006351 - transcription, DNA-templated", GO:0042025 - host cell nucleus; GO:0005634 - nucleus,,,,,ENOG410PKZB,K,2915at33183,,,CPSG_05847,CIMG_05519,0.745009972312782,0.0085314309000822,0.934350473569613,0.00459194639254012,no upreg,no upreg
D8B26_000134,hypothetical protein,,PF02463;PF06470;PF13476, GO:0005515 - protein binding; GO:0005524 - ATP binding, GO:0051276 - chromosome organization, GO:0005694 - chromosome,,,,,ENOG410PFHT,D,485at33183,,,CPSG_05848,CIMG_05518,-1.82346371206754,0.00155631142153952,-1.67655071421356,1.36462180406863e-05,hyphae_upreg,hyphae_upreg
D8B26_000135,hypothetical protein,,PF13934,,,,,,,,ENOG410PPD7,S,10459at33183,,,CPSG_05849,CIMG_05517,-0.350179260669795,0.107484635853622,-0.475719423804931,0.00815070714229893,no upreg,no upreg
D8B26_000136,hypothetical protein,,PF00642;PF18044, GO:0046872 - metal ion binding,,,,,,,ENOG410PM7N,S,12603at33183,,,CPSG_05850,CIMG_05516,0.813723056245452,0.00614731764078433,0.443252009965958,0.0523794805065743,no upreg,no upreg
D8B26_000137,40S ribosomal protein S20,RPS20,PF00338, GO:0003735 - structural constituent of ribosome; GO:0003723 - RNA binding, GO:0006412 - translation, GO:0005840 - ribosome; GO:0015935 - small ribosomal subunit,,,,,ENOG410PQ4U,J,474374at4751;15992at33183,,,CPSG_05851,,-0.00592293809284605,0.992363408025128,0.000575739894063787,0.998219667332024,no upreg,no upreg
D8B26_000138,hypothetical protein,,PF02845, GO:0005515 - protein binding,,,,,,,ENOG410PI70,K,7362at33183,,,CPSG_05852,CIMG_05514,-0.436679707992455,0.210540030767344,-0.559093937220242,0.0380124947631315,no upreg,no upreg
D8B26_000139,hypothetical protein,,PF00173;PF00487, GO:0016491 - oxidoreductase activity, GO:0006629 - lipid metabolic process, GO:0016021 - integral component of membrane,3 (o234-255i372-388o408-431i),,,,ENOG410PFMX,I,,,,CPSG_05853,CIMG_05513,-1.03265975619922,0.0341783021462253,-2.55894251017283,1.7382934166128e-05,hyphae_upreg,hyphae_upreg
D8B26_000140,Phosphoglucomutase-3,PGM3,PF00408;PF02879;PF02880," GO:0016868 - intramolecular transferase activity, phosphotransferases", GO:0005975 - carbohydrate metabolic process; GO:0071704 - organic substance metabolic process,,,,,,ENOG410PGSN,G,5233at33183,,,CPSG_05854,CIMG_05512,0.108418168839306,0.797754352065278,0.0241718824593811,0.934956170471576,no upreg,no upreg
D8B26_000141,hypothetical protein,,PF12351,, GO:0032220 - plasma membrane fusion involved in cytogamy, GO:0016020 - membrane,3 (n4-15c20/21o132-154i175-196o216-240i),SignalP(1-20),,,ENOG410PXTF,S,,,,CPSG_05855,CIMG_05511,-2.61036534057434,0.0113326746134569,-1.33712931189478,0.00225775758460104,hyphae_upreg,hyphae_upreg
D8B26_000142,hypothetical protein,,,,,,4 (i762-784o796-817i829-852o858-881i),,,,ENOG410PI1N,M,,,,,,,,,,,
D8B26_000143,hypothetical protein,,PF00023;PF12796;PF13606;PF13637;PF13857, GO:0005515 - protein binding,,,,,,,ENOG41KOG4177,M,,,,,,,,,,,
D8B26_000144,hypothetical protein,,PF00172," GO:0008270 - zinc ion binding; GO:0000981 - DNA-binding transcription factor activity, RNA polymerase II-specific"," GO:0006355 - regulation of transcription, DNA-templated", GO:0042025 - host cell nucleus,2 (i159-176o215-233i),,,,ENOG410Q588,,,,,CPSG_05857,CIMG_05509,-0.0624417968018811,0.878167953802227,-0.0903275811010156,0.664677746649628,no upreg,no upreg
D8B26_000145,hypothetical protein,,PF04479,,, GO:0016021 - integral component of membrane,7 (o18-36i43-66o78-100i121-144o156-179i200-220o235-255i),,,,ENOG410PN5J,S,,,,CPSG_05858,CIMG_11559,0.487770601758919,0.330472674656068,-1.07888173978205,0.00524036700855306,no upreg,hyphae_upreg
D8B26_000146,hypothetical protein,,,,,,2 (i33-56o62-80i),,,,ENOG410PNWZ,U,9948at33183,,,CPSG_05859,CIMG_05505,0.62556114646173,0.0278183856928373,1.46456228618061,3.69221454826743e-05,no upreg,spherule_upreg
D8B26_000147,hypothetical protein,,PF00083;PF07690, GO:0022857 - transmembrane transporter activity, GO:0055085 - transmembrane transport, GO:0016020 - membrane; GO:0016021 - integral component of membrane,11 (o71-93i100-119o131-149i156-178o198-215i278-295o307- 328i340-358o378-401i408-428o448-466i),,,,ENOG410PJ3A,G,4204at33183,,,CPSG_05860,CIMG_05504,-0.454712404482545,0.650471627004741,-1.49275420223819,0.000800547741427128,no upreg,hyphae_upreg
D8B26_000148,hypothetical protein,,PF00561;PF12697,,,,,,,MER0025512,ENOG410PWXB,S,,,,CPSG_05861,CIMG_05503,2.29426562656421,0.00712580797882514,5.70722224641336,1.75767762605288e-05,spherule_upreg,spherule_upreg
D8B26_000149,kinesin-like nuclear fusion protein,KAR3,PF00225;PF16796, GO:0008017 - microtubule binding; GO:0005524 - ATP binding; GO:0003777 - microtubule motor activity, GO:0007018 - microtubule-based movement,,,,,,ENOG410PGD5,Z,1823at33183,,,CPSG_05862,CIMG_05502,-1.78749557496137,0.0010828562320884,-1.05570512942967,0.000275775228075586,hyphae_upreg,hyphae_upreg
D8B26_000150,hypothetical protein,,PF00067," GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037 - heme binding; GO:0005506 - iron ion binding", GO:0055114 - oxidation-reduction process,,,,,,ENOG4112P50,Q,,,,CPSG_05863,CIMG_05501,-0.694824472805068,0.341993472393001,1.83716903511404,0.000196895340177818,no upreg,spherule_upreg
D8B26_000151,Coronin-like protein crn1,CRN1,PF00400;PF08953;PF12894;PF16300, GO:0005515 - protein binding,,,,,,,ENOG410PHD5,Z,4861at33183,,,CPSG_05865,CIMG_05499,-0.29897986801515,0.23783760091676,-0.8917924531452,3.99545450437168e-05,no upreg,no upreg
D8B26_000152,CTP synthase ura7,URA7_1,PF00117;PF06418, GO:0003883 - CTP synthase activity, GO:0006221 - pyrimidine nucleotide biosynthetic process; GO:0006241 - CTP biosynthetic process,,,,,MER0437468,ENOG410PI55,F,5690at33183,,,CPSG_05866,CIMG_05498,1.04754207423686,0.00574971641609681,0.504044860072036,0.0246304225011079,spherule_upreg,no upreg
D8B26_000153,hypothetical protein,,, GO:0061630 - ubiquitin protein ligase activity, GO:0006397 - mRNA processing; GO:0016567 - protein ubiquitination,,,,,,ENOG410PHQ0,,,,,CPSG_05867,CIMG_05497,-1.07689136522568,0.00146769612466083,-1.05478510871842,0.000325254251733861,hyphae_upreg,hyphae_upreg
D8B26_000154,hypothetical protein,,PF00808, GO:0046982 - protein heterodimerization activity,,,,,,,ENOG410PQQD,K,471205at4751;13897at33183,,,CPSG_05868,CIMG_05496,0.240321085272048,0.307822609632482,0.224829876251404,0.282796340230316,no upreg,no upreg
D8B26_000155,hypothetical protein,,PF10257,,,,,,,,ENOG410PHY3,S,2402at33183,,,CPSG_05869,CIMG_05494,0.609338709747401,0.0162499720380389,-0.0800320115007374,0.623592310565198,no upreg,no upreg
D8B26_000156,hypothetical protein,,,,,,,,,,ENOG410PJ0X,S,,,,,,,,,,,
D8B26_000157,hypothetical protein,,PF01764,, GO:0006629 - lipid metabolic process,,,,,,ENOG410PJ0X,S,,,,,,,,,,,
D8B26_000158,dihydroxy-acid dehydratase ilv3,ILV3,PF00920, GO:0003824 - catalytic activity; GO:0004160 - dihydroxy-acid dehydratase activity, GO:0009082 - branched-chain amino acid biosynthetic process,,,,,,ENOG410PFSR,E,3737at33183,,,CPSG_05871,CIMG_05492,1.85894323506946,0.00243187996778113,0.921108880603789,0.0380901256517324,spherule_upreg,no upreg
D8B26_000159,hypothetical protein,,,,,,,SignalP(1-18),,,ENOG410PKW4,S,,,,CPSG_05872,CIMG_05491,-1.75250868478229,0.0777271688895702,0.926096121029809,0.00220296034421254,no upreg,no upreg
D8B26_000160,hypothetical protein,,PF00069;PF07714, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PFW7,T,4003at33183,,,CPSG_05876,CIMG_05489,0.0744450061438613,0.790697411219449,0.479762583187268,0.127189951638862,no upreg,no upreg
D8B26_000161,hypothetical protein,,,,,,,,,,ENOG410Q54I,,12531at33183,,,CPSG_05877,CIMG_05488,0.853993528339845,0.414605925713509,1.32375082282009,0.107610055710118,no upreg,no upreg
D8B26_000162,Mitochondrial import inner membrane translocase subunit tim23,TIM23,PF02466, GO:0015450 - P-P-bond-hydrolysis-driven protein transmembrane transporter activity, GO:0006886 - intracellular protein transport, GO:0005744 - TIM23 mitochondrial import inner membrane translocase complex,1 (i184-202o),,,,ENOG410PGJA,U,464711at4751;13808at33183,,,CPSG_05878,CIMG_05487,-0.528939065854936,0.0995935840370665,0.863475455279375,0.00387094310344977,no upreg,no upreg
D8B26_000163,hypothetical protein,,PF10350,,,,,,,,ENOG410PIB4,D,213at33183,,,CPSG_05879,CIMG_05486,-0.91512101597179,0.00260239083839743,-0.669497602772789,0.002818843350081,no upreg,no upreg
D8B26_000164,hypothetical protein,,,,,,1 (o6-29i),,,,,,,,,CPSG_05880,,-1.26675260306479,0.106272969861261,-0.985116502271585,0.426148759222624,no upreg,no upreg
D8B26_000165,"Sorting nexin, cytoplasm-to-vacuole targeting pathway/endosomal sorting",ATG20,PF00787, GO:0035091 - phosphatidylinositol binding,,,,,,,ENOG410PH48,U,3490at33183,,,CPSG_05883,CIMG_05484,0.315774363931279,0.269622112170132,0.58570480693523,0.00538048962100012,no upreg,no upreg
D8B26_000166,CSN-associated deubiquitinating enzyme Ubp12,UBP12,PF00443;PF06337, GO:0004843 - thiol-dependent ubiquitin-specific protease activity; GO:0036459 - thiol-dependent ubiquitinyl hydrolase activity, GO:0016579 - protein deubiquitination; GO:0006511 - ubiquitin-dependent protein catabolic process,,,,,MER0001879,ENOG410PI2R,O,440at33183,,,CPSG_05884,CIMG_05483,-0.0507318235769549,0.806354105327555,-0.259135697494923,0.222744785376972,no upreg,no upreg
D8B26_000167,hypothetical protein,,,,,,,SignalP(1-18),,,ENOG410PTT9,,,,,CPSG_05885,CIMG_05482,0.994204424212235,0.325243524198421,-3.21785724744201,9.08040867861763e-06,no upreg,hyphae_upreg
D8B26_000168,hypothetical protein,,,,,,1 (i136-160o),,,,ENOG410Q5B8,,,,,,,,,,,,
D8B26_000169,hypothetical protein,,, GO:0005515 - protein binding,,,,,,,ENOG410PFUP,S,46918at4751;1595at33183,,,CPSG_05891,CIMG_05478,-1.00773236922099,0.00718423605350943,-0.59507381497691,0.106682606167247,hyphae_upreg,no upreg
D8B26_000170,hypothetical protein,,PF00069, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG410PHCV,T,,,,CPSG_05892,,-0.0478829972917012,0.813959853474875,0.227762380253246,0.351968418425207,no upreg,no upreg
D8B26_000171,hypothetical protein,,,,,,,,,,ENOG410PSIQ,,,,,CPSG_05893,CIMG_13242,-2.67219094169294,0.0179930653451709,,1.0,hyphae_upreg,
D8B26_000172,translational elongation factor EF-1 alpha,TEF3,PF00005;PF17947, GO:0016887 - ATPase activity; GO:0005524 - ATP binding,,,,,,,ENOG410PGET,J,1003at33183,,,CPSG_05895,,2.04440329602647,0.0473427887731891,-0.887308839744307,0.0575004566654104,spherule_upreg,no upreg
D8B26_000173,hypothetical protein,,PF00106;PF08659;PF13561, GO:0016491 - oxidoreductase activity,,,,,,,ENOG410PQC1,Q,,,,CPSG_05897,CIMG_05476,3.63128469368739,0.000246410114604372,0.629762751998584,0.235492972503031,spherule_upreg,no upreg
D8B26_000174,hypothetical protein,,,,,,6 (i82-102o152-172i184-207o219-238i279-298o304-321i),,,,ENOG410PV62,S,,,,CPSG_05899,CIMG_05475,-0.613451364916868,0.139665120969571,2.24683370319264,0.000460740299850235,no upreg,spherule_upreg
D8B26_000175,hypothetical protein,,,,,,,,,,ENOG410Q5JM,,,,,CPSG_05900,CIMG_05474,-0.957815211387645,0.0163636912073615,0.0172187270105439,0.946468660717105,no upreg,no upreg
D8B26_000176,transcriptional regulator swi6,SWI6,PF13637, GO:0003677 - DNA binding,,,,,,,ENOG410PGG6,K,1661at33183,,,CPSG_05901,CIMG_05472,0.126100133042988,0.569630504571878,-0.559424339508063,0.00735944706644651,no upreg,no upreg
D8B26_000177,hypothetical protein,,PF05347,,,,,,,,ENOG410PS02,S,9861at33183,,,CPSG_05902,CIMG_05471,0.172475978708215,0.471532311005516,-1.7206154735444,4.86172750147082e-05,no upreg,hyphae_upreg
D8B26_000178,hypothetical protein,,PF05971, GO:0008168 - methyltransferase activity,,,,,,,ENOG410PIKW,S,8094at33183,,,CPSG_05903,CIMG_05470,2.15680621320283,0.00127769789299707,0.985926498820605,0.000197112148063316,spherule_upreg,no upreg
D8B26_000179,hypothetical protein,,PF00156;PF13793;PF14572, GO:0000287 - magnesium ion binding; GO:0004749 - ribose phosphate diphosphokinase activity, GO:0009165 - nucleotide biosynthetic process; GO:0009156 - ribonucleoside monophosphate biosynthetic process; GO:0044249 - cellular biosynthetic process; GO:0009116 - nucleoside metabolic process,,,,,,ENOG410PFQH,F,5584at33183,,,CPSG_05909,CIMG_05468,0.63156842633066,0.0196298108698562,0.615332028867715,0.00298917276231647,no upreg,no upreg
